Label,Notation,Parent Notation,Sort Priority
United Kingdom,uk,,1
Brixham,brixham,uk,2
Fleetwood,fleetwood,uk,3
Grimsby,grimsby,uk,4
Hastings,hastings,uk,5
Lowestoft,lowestoft,uk,6
Newlyn,newlyn,uk,7
North shields,north-shields,uk,8
Plymouth,plymouth,uk,9
Poole,poole,uk,10
Scarborough,scarborough,uk,11
Unknown,unknown,uk,12
Belfast,belfast,uk,13
Aberdeen,aberdeen,uk,14
Anstruther,anstruther,uk,15
Ayr,ayr,uk,16
Buckie,buckie,uk,17
Campbeltown,campbeltown,uk,18
Eyemouth,eyemouth,uk,19
Fraserburgh,fraserburgh,uk,20
Kinlochbervie,kinlochbervie,uk,21
Lochinver,lochinver,uk,22
Mallaig,mallaig,uk,23
Oban,oban,uk,24
Orkney,orkney,uk,25
Peterhead,peterhead,uk,26
Portree,portree,uk,27
Shetland,shetland,uk,28
Stornoway,stornoway,uk,29
Ullapool,ullapool,uk,30
Wick,wick,uk,31
Milford haven,milford-haven,uk,32
