Label,Notation,Parent Notation,Sort Priority
ENGLAND,eng,,1
NHS Northumberland CCG,00l,,2
NHS South Tyneside CCG,00n,,3
NHS Sunderland CCG,00p,,4
NHS Blackburn with Darwen CCG,00q,,5
NHS Blackpool CCG,00r,,6
NHS Bolton CCG,00t,,7
NHS Bury CCG,00v,,8
NHS Chorley and South Ribble CCG,00x,,9
NHS Oldham CCG,00y,,10
NHS East Lancashire CCG,01a,,11
"NHS Heywood, Middleton and Rochdale CCG",01d,,12
NHS Greater Preston CCG,01e,,13
NHS Halton CCG,01f,,14
NHS Salford CCG,01g,,15
NHS North Cumbria CCG,01h,,16
NHS Knowsley CCG,01j,,17
NHS Morecambe Bay CCG,01k,,18
NHS South Sefton CCG,01t,,19
NHS Southport and Formby CCG,01v,,20
NHS Stockport CCG,01w,,21
NHS St Helens CCG,01x,,22
NHS Tameside and Glossop CCG,01y,,23
NHS Trafford CCG,02a,,24
NHS Warrington CCG,02e,,25
NHS West Lancashire CCG,02g,,26
NHS Wigan Borough CCG,02h,,27
NHS Fylde and Wyre CCG,02m,,28
NHS Barnsley CCG,02p,,29
NHS Bassetlaw CCG,02q,,30
NHS Calderdale CCG,02t,,31
NHS Doncaster CCG,02x,,32
NHS East Riding of Yorkshire CCG,02y,,33
NHS Greater Huddersfield CCG,03a,,34
NHS Hull CCG,03f,,35
NHS North East Lincolnshire CCG,03h,,36
NHS North Kirklees CCG,03j,,37
NHS North Lincolnshire CCG,03k,,38
NHS Rotherham CCG,03l,,39
NHS Sheffield CCG,03n,,40
NHS Vale of York CCG,03q,,41
NHS Wakefield CCG,03r,,42
NHS East Leicestershire and Rutland CCG,03w,,43
NHS Leicester City CCG,04c,,44
NHS Milton Keynes CCG,04f,,45
NHS West Leicestershire CCG,04v,,46
NHS Cannock Chase CCG,04y,,47
NHS Coventry and Rugby CCG,05a,,48
NHS Dudley CCG,05c,,49
NHS East Staffordshire CCG,05d,,50
NHS North Staffordshire CCG,05g,,51
NHS Warwickshire North CCG,05h,,52
NHS Sandwell and West Birmingham CCG,05l,,53
NHS Shropshire CCG,05n,,54
NHS South East Staffordshire and Seisdon Peninsula CCG,05q,,55
NHS South Warwickshire CCG,05r,,56
NHS Stafford and Surrounds CCG,05v,,57
NHS Stoke on Trent CCG,05w,,58
NHS Telford and Wrekin CCG,05x,,59
NHS Walsall CCG,05y,,60
NHS Wolverhampton CCG,06a,,61
NHS Bedfordshire CCG,06f,,62
NHS Cambridgeshire and Peterborough CCG,06h,,63
NHS East and North Hertfordshire CCG,06k,,64
NHS Ipswich and East Suffolk CCG,06l,,65
NHS Herts Valleys CCG,06n,,66
NHS Luton CCG,06p,,67
NHS Mid Essex CCG,06q,,68
NHS North East Essex CCG,06t,,69
NHS Thurrock CCG,07g,,70
NHS West Essex CCG,07h,,71
NHS West Suffolk CCG,07k,,72
NHS Barking and Dagenham CCG,07l,,73
NHS Brent CCG,07p,,74
NHS City and Hackney CCG,07t,,75
NHS Ealing CCG,07w,,76
NHS Hounslow CCG,07y,,77
NHS Hammersmith and Fulham CCG,08c,,78
NHS Harrow CCG,08e,,79
NHS Havering CCG,08f,,80
NHS Hillingdon CCG,08g,,81
NHS Newham CCG,08m,,82
NHS Redbridge CCG,08n,,83
NHS Tower Hamlets CCG,08v,,84
NHS Waltham Forest CCG,08w,,85
NHS West London CCG,08y,,86
NHS Central London (Westminster) CCG,09a,,87
NHS Brighton and Hove CCG,09d,,88
NHS Surrey Heath CCG,10c,,89
NHS North Hampshire CCG,10j,,90
NHS Fareham and Gosport CCG,10k,,91
NHS Isle of Wight CCG,10l,,92
NHS Oxfordshire CCG,10q,,93
NHS Portsmouth CCG,10r,,94
NHS South Eastern Hampshire CCG,10v,,95
NHS Southampton CCG,10x,,96
NHS West Hampshire CCG,11a,,97
NHS Dorset CCG,11j,,98
NHS Gloucestershire CCG,11m,,99
NHS Kernow CCG,11n,,100
NHS Somerset CCG,11x,,101
NHS Wirral CCG,12f,,102
NHS Newcastle Gateshead CCG,13t,,103
NHS Manchester CCG,14l,,104
NHS Buckinghamshire CCG,14y,,105
NHS Berkshire West CCG,15a,,106
"NHS Bristol, North Somerset and South Gloucestershire CCG",15c,,107
NHS East Berkshire CCG,15d,,108
NHS Birmingham and Solihull CCG,15e,,109
NHS Leeds CCG,15f,,110
NHS Derby and Derbyshire CCG,15m,,111
NHS Devon CCG,15n,,112
NHS Tees Valley CCG,16c,,113
NHS Herefordshire and Worcestershire CCG,18c,,114
NHS Norfolk and Waveney CCG,26a,,115
NHS Cheshire CCG,27d,,116
NHS Bradford District and Craven CCG,36j,,117
NHS South West London CCG,36l,,118
NHS North Yorkshire CCG,42d,,119
NHS Nottingham and Nottinghamshire CCG,52r,,120
NHS West Sussex CCG,70f,,121
NHS Lincolnshire CCG,71e,,122
NHS South East London CCG,72q,,123
NHS Northamptonshire CCG,78h,,124
NHS County Durham CCG,84h,,125
NHS Kent and Medway CCG,91q,,126
NHS Surrey Heartlands CCG,92a,,127
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92g,,128
NHS North Central London CCG,93c,,129
NHS East Sussex CCG,97r,,130
NHS Liverpool CCG,99a,,131
NHS North Tyneside CCG,99c,,132
NHS Basildon and Brentwood CCG,99e,,133
NHS Castle Point and Rochford CCG,99f,,134
NHS Southend CCG,99g,,135
NHS North East Hampshire and Farnham CCG,99m,,136
