Label,Notation,Parent Notation,Sort Priority
Antibacterial hand wipes,antibacterial-hand-wipes,,1
Antibacterial wipes,antibacterial-wipes,,2
Baby food,baby-food,,3
Cough and cold,cough-and-cold,,4
Dried pasta,dried-pasta,,5
Flour,flour,,6
Hand sanitiser,hand-sanitiser,,7
Handwash,handwash,,8
Kitchen rolls,kitchen-rolls,,9
Long life milk,long-life-milk,,10
Nappies,nappies,,11
Paracetamol,paracetamol,,12
Pasta sauce,pasta-sauce,,13
Pet food,pet-food,,14
Rice,rice,,15
Spray cleaning,spray-cleaning,,16
Tinned beans,tinned-beans,,17
Tinned soup,tinned-soup,,18
Tissues,tissues,,19
Toilet rolls,toilet-rolls,,20
Tomato puree,tomato-puree,,21
Vitamin c,vitamin-c,,22
All food,all-food,,23
All household and hygiene,all-household-and-hygiene,,24
All hdp items,all-hdp-items,,25
Anti inflammatory medication,anti-inflammatory-medication,,26
