Label,Notation,Parent Notation,Sort Priority
Threat posed to the country,threat-posed-to-the-country,,
Threat posed to you personally,threat-posed-to-you-personally,,
Threat posed to your job or business,threat-posed-to-your-job-or-business,,
Believe someone close will be infected,believe-someone-close-will-be-infected,,
Avoiding gatherings with friends and family,avoiding-gatherings-with-friends-and-family,,
Avoiding gatherings outside of more than two people,avoiding-gatherings-outside-of-more-than-two-people,,
Avoiding exercising outdoors more than once per day,avoiding-exercising-outdoors-more-than-once-per-day,,
Trying to keep 2 metres from people when out,trying-to-keep-2-metres-from-people-when-out,,
Only leaving home for essential trips ,only-leaving-home-for-essential-trips,,
Welsh Government doing good job to contain spread of virus,welsh-government-doing-good-job-to-contain-spread-of-virus,,
NHS doing good job to contain spread of virus,nhs-doing-good-job-to-contain-spread-of-virus,,
Coronavirus will have financial impact on self and family,coronavirus-will-have-financial-impact-on-self-and-family,,
Concerned will be able to pay bills one month from now,concerned-will-be-able-to-pay-bills-one-month-from-now,,
